Source,CH1,CH2
Second,Volt,Volt
-0.01999999955,0.18000,0.01600
-0.01999600045,0.18000,0.00800
-0.01999199949,0.18000,0.00800
-0.01998800039,0.20000,0.00800
-0.01998399943,0.20000,0.00800
-0.01998000033,0.20000,0.00800
-0.01997599937,0.20000,0.01600
-0.01997200027,0.20000,0.00800
-0.01996799931,0.20000,0.01600
-0.01996400021,0.20000,0.00800
-0.01995999925,0.20000,0.00800
-0.01995600015,0.20000,0.00800
-0.01995199919,0.22000,0.00800
-0.01994800009,0.22000,0.00800
-0.01994399913,0.20000,0.00800
-0.01994000003,0.22000,0.00800
-0.01993599907,0.22000,0.00800
-0.01993199997,0.22000,0.00800
-0.01992800087,0.22000,0.00800
-0.01992399991,0.22000,0.01600
-0.01992000081,0.22000,0.00800
-0.01991599984,0.22000,0.00800
-0.01991200075,0.22000,0.00800
-0.01990799978,0.22000,0.00800
-0.01990400068,0.22000,0.00800
-0.01989999972,0.22000,0.01600
-0.01989600062,0.22000,0.01600
-0.01989199966,0.22000,0.01600
-0.01988800056,0.24000,0.01600
-0.01988399960,0.24000,0.01600
-0.01988000050,0.24000,0.01600
-0.01987599954,0.26000,0.01600
-0.01987200044,0.24000,0.01600
-0.01986799948,0.24000,0.01600
-0.01986400038,0.26000,0.01600
-0.01985999942,0.24000,0.01600
-0.01985600032,0.26000,0.01600
-0.01985199936,0.26000,0.01600
-0.01984800026,0.26000,0.01600
-0.01984399930,0.28000,0.01600
-0.01984000020,0.28000,0.01600
-0.01983599924,0.26000,0.01600
-0.01983200014,0.28000,0.01600
-0.01982799917,0.28000,0.01600
-0.01982400008,0.28000,0.01600
-0.01981999911,0.28000,0.01600
-0.01981600001,0.28000,0.00800
-0.01981199905,0.26000,0.01600
-0.01980799995,0.28000,0.01600
-0.01980400085,0.28000,0.00800
-0.01979999989,0.26000,0.01600
-0.01979600079,0.28000,0.00800
-0.01979199983,0.28000,0.01600
-0.01978800073,0.28000,0.01600
-0.01978399977,0.28000,0.01600
-0.01978000067,0.28000,0.01600
-0.01977599971,0.28000,0.01600
-0.01977200061,0.28000,0.01600
-0.01976799965,0.28000,0.02400
-0.01976400055,0.28000,0.02400
-0.01975999959,0.28000,0.02400
-0.01975600049,0.30000,0.02400
-0.01975199953,0.30000,0.02400
-0.01974800043,0.28000,0.02400
-0.01974399947,0.30000,0.02400
-0.01974000037,0.30000,0.02400
-0.01973599941,0.30000,0.02400
-0.01973200031,0.30000,0.02400
-0.01972799934,0.30000,0.02400
-0.01972400025,0.30000,0.02400
-0.01971999928,0.32000,0.02400
-0.01971600018,0.32000,0.02400
-0.01971199922,0.32000,0.02400
-0.01970800012,0.30000,0.02400
-0.01970399916,0.32000,0.02400
-0.01970000006,0.32000,0.02400
-0.01969599910,0.30000,0.02400
-0.01969200000,0.32000,0.02400
-0.01968799904,0.34000,0.02400
-0.01968399994,0.34000,0.01600
-0.01968000084,0.34000,0.01600
-0.01967599988,0.32000,0.01600
-0.01967200078,0.32000,0.02400
-0.01966799982,0.34000,0.01600
-0.01966400072,0.34000,0.02400
-0.01965999976,0.34000,0.02400
-0.01965600066,0.34000,0.02400
-0.01965199970,0.34000,0.02400
-0.01964800060,0.34000,0.02400
-0.01964399964,0.34000,0.02400
-0.01964000054,0.34000,0.02400
-0.01963599958,0.34000,0.02400
-0.01963200048,0.34000,0.02400
-0.01962799951,0.34000,0.02400
-0.01962400042,0.36000,0.02400
-0.01961999945,0.36000,0.02400
-0.01961600035,0.36000,0.02400
-0.01961199939,0.36000,0.02400
-0.01960800029,0.36000,0.03200
-0.01960399933,0.36000,0.02400
-0.01960000023,0.38000,0.03200
-0.01959599927,0.38000,0.02400
-0.01959200017,0.38000,0.03200
-0.01958799921,0.38000,0.02400
-0.01958400011,0.38000,0.02400
-0.01957999915,0.38000,0.02400
-0.01957600005,0.38000,0.02400
-0.01957199909,0.38000,0.02400
-0.01956799999,0.38000,0.02400
-0.01956399903,0.38000,0.02400
-0.01955999993,0.38000,0.02400
-0.01955600083,0.38000,0.02400
-0.01955199987,0.38000,0.02400
-0.01954800077,0.38000,0.02400
-0.01954399981,0.38000,0.02400
-0.01954000071,0.38000,0.02400
-0.01953599975,0.38000,0.03200
-0.01953200065,0.38000,0.02400
-0.01952799968,0.40000,0.03200
-0.01952400059,0.40000,0.03200
-0.01951999962,0.38000,0.03200
-0.01951600052,0.38000,0.03200
-0.01951199956,0.40000,0.03200
-0.01950800046,0.40000,0.03200
-0.01950399950,0.40000,0.04000
-0.01950000040,0.40000,0.03200
-0.01949599944,0.40000,0.03200
-0.01949200034,0.40000,0.03200
-0.01948799938,0.42000,0.04000
-0.01948400028,0.42000,0.04000
-0.01947999932,0.42000,0.04000
-0.01947600022,0.44000,0.03200
-0.01947199926,0.44000,0.04000
-0.01946800016,0.42000,0.03200
-0.01946399920,0.44000,0.03200
-0.01946000010,0.44000,0.03200
-0.01945599914,0.42000,0.03200
-0.01945200004,0.42000,0.04000
-0.01944799908,0.44000,0.03200
-0.01944399998,0.44000,0.03200
-0.01944000088,0.44000,0.03200
-0.01943599992,0.44000,0.03200
-0.01943200082,0.44000,0.03200
-0.01942799985,0.42000,0.03200
-0.01942400075,0.42000,0.03200
-0.01941999979,0.44000,0.03200
-0.01941600069,0.44000,0.03200
-0.01941199973,0.42000,0.03200
-0.01940800063,0.44000,0.03200
-0.01940399967,0.44000,0.03200
-0.01940000057,0.44000,0.04000
-0.01939599961,0.44000,0.04000
-0.01939200051,0.46000,0.04000
-0.01938799955,0.46000,0.04000
-0.01938400045,0.46000,0.04000
-0.01937999949,0.46000,0.04000
-0.01937600039,0.46000,0.04000
-0.01937199943,0.46000,0.04000
-0.01936800033,0.48000,0.04000
-0.01936399937,0.48000,0.04000
-0.01936000027,0.48000,0.04000
-0.01935599931,0.48000,0.04000
-0.01935200021,0.48000,0.04000
-0.01934799924,0.48000,0.04000
-0.01934400015,0.48000,0.04000
-0.01933999918,0.48000,0.04000
-0.01933600008,0.48000,0.04000
-0.01933199912,0.48000,0.03200
-0.01932800002,0.48000,0.04000
-0.01932399906,0.48000,0.04000
-0.01931999996,0.48000,0.04000
-0.01931600086,0.50000,0.04000
-0.01931199990,0.50000,0.04000
-0.01930800080,0.50000,0.04000
-0.01930399984,0.48000,0.04000
-0.01930000074,0.48000,0.04000
-0.01929599978,0.48000,0.04000
-0.01929200068,0.48000,0.04000
-0.01928799972,0.48000,0.04000
-0.01928400062,0.50000,0.04000
-0.01927999966,0.50000,0.04000
-0.01927600056,0.50000,0.04000
-0.01927199960,0.50000,0.04800
-0.01926800050,0.50000,0.04800
-0.01926399954,0.50000,0.04800
-0.01926000044,0.52000,0.04800
-0.01925599948,0.52000,0.04800
-0.01925200038,0.50000,0.04800
-0.01924799941,0.52000,0.04800
-0.01924400032,0.54000,0.04800
-0.01923999935,0.56000,0.04800
-0.01923600025,0.56000,0.04800
-0.01923199929,0.56000,0.04800
-0.01922800019,0.56000,0.04800
-0.01922399923,0.56000,0.04800
-0.01922000013,0.56000,0.04800
-0.01921599917,0.56000,0.04800
-0.01921200007,0.56000,0.04000
-0.01920799911,0.56000,0.04000
-0.01920400001,0.56000,0.04000
-0.01919999905,0.56000,0.04000
-0.01919599995,0.56000,0.04000
-0.01919200085,0.56000,0.04000
-0.01918799989,0.58000,0.04000
-0.01918400079,0.58000,0.04000
-0.01917999983,0.56000,0.04000
-0.01917600073,0.56000,0.04000
-0.01917199977,0.56000,0.04800
-0.01916800067,0.56000,0.04800
-0.01916399971,0.56000,0.04800
-0.01916000061,0.56000,0.04800
-0.01915599965,0.56000,0.04800
-0.01915200055,0.56000,0.04800
-0.01914799958,0.56000,0.04800
-0.01914400049,0.58000,0.04800
-0.01913999952,0.58000,0.05600
-0.01913600042,0.58000,0.05600
-0.01913199946,0.58000,0.05600
-0.01912800036,0.58000,0.05600
-0.01912399940,0.58000,0.05600
-0.01912000030,0.60000,0.05600
-0.01911599934,0.60000,0.05600
-0.01911200024,0.60000,0.05600
-0.01910799928,0.60000,0.05600
-0.01910400018,0.60000,0.05600
-0.01909999922,0.60000,0.05600
-0.01909600012,0.60000,0.05600
-0.01909199916,0.62000,0.04800
-0.01908800006,0.62000,0.04800
-0.01908399910,0.60000,0.05600
-0.01908000000,0.62000,0.04800
-0.01907599904,0.62000,0.04800
-0.01907199994,0.62000,0.04800
-0.01906800084,0.62000,0.04800
-0.01906399988,0.62000,0.04800
-0.01906000078,0.62000,0.04800
-0.01905599982,0.60000,0.04800
-0.01905200072,0.60000,0.04800
-0.01904799975,0.60000,0.05600
-0.01904400066,0.60000,0.04800
-0.01903999969,0.60000,0.05600
-0.01903600059,0.60000,0.05600
-0.01903199963,0.60000,0.05600
-0.01902800053,0.62000,0.05600
-0.01902399957,0.62000,0.05600
-0.01902000047,0.62000,0.05600
-0.01901599951,0.62000,0.06400
-0.01901200041,0.64000,0.05600
-0.01900799945,0.64000,0.06400
-0.01900400035,0.64000,0.05600
-0.01899999939,0.64000,0.06400
-0.01899600029,0.64000,0.06400
-0.01899199933,0.64000,0.05600
-0.01898800023,0.64000,0.05600
-0.01898399927,0.66000,0.05600
-0.01898000017,0.66000,0.05600
-0.01897599921,0.66000,0.05600
-0.01897200011,0.64000,0.05600
-0.01896799915,0.64000,0.05600
-0.01896400005,0.66000,0.05600
-0.01895999908,0.66000,0.05600
-0.01895599999,0.66000,0.05600
-0.01895199902,0.66000,0.05600
-0.01894799992,0.66000,0.05600
-0.01894400083,0.66000,0.05600
-0.01893999986,0.66000,0.05600
-0.01893600076,0.66000,0.05600
-0.01893199980,0.66000,0.05600
-0.01892800070,0.66000,0.05600
-0.01892399974,0.66000,0.05600
-0.01892000064,0.66000,0.05600
-0.01891599968,0.66000,0.05600
-0.01891200058,0.68000,0.05600
-0.01890799962,0.68000,0.05600
-0.01890400052,0.66000,0.05600
-0.01889999956,0.68000,0.06400
-0.01889600046,0.68000,0.05600
-0.01889199950,0.66000,0.05600
-0.01888800040,0.68000,0.06400
-0.01888399944,0.70000,0.06400
-0.01888000034,0.70000,0.06400
-0.01887599938,0.70000,0.06400
-0.01887200028,0.68000,0.06400
-0.01886799932,0.70000,0.06400
-0.01886400022,0.70000,0.06400
-0.01885999925,0.70000,0.06400
-0.01885600016,0.72000,0.06400
-0.01885199919,0.72000,0.06400
-0.01884800009,0.70000,0.06400
-0.01884399913,0.70000,0.05600
-0.01884000003,0.72000,0.06400
-0.01883599907,0.72000,0.05600
-0.01883199997,0.70000,0.05600
-0.01882800087,0.70000,0.06400
-0.01882399991,0.70000,0.06400
-0.01882000081,0.72000,0.06400
-0.01881599985,0.72000,0.05600
-0.01881200075,0.72000,0.05600
-0.01880799979,0.72000,0.05600
-0.01880400069,0.72000,0.05600
-0.01879999973,0.72000,0.05600
-0.01879600063,0.72000,0.05600
-0.01879199967,0.72000,0.06400
-0.01878800057,0.72000,0.06400
-0.01878399961,0.72000,0.06400
-0.01878000051,0.74000,0.06400
-0.01877599955,0.74000,0.06400
-0.01877200045,0.72000,0.06400
-0.01876799949,0.74000,0.06400
-0.01876400039,0.74000,0.06400
-0.01875999942,0.74000,0.06400
-0.01875600033,0.74000,0.06400
-0.01875199936,0.74000,0.07200
-0.01874800026,0.74000,0.07200
-0.01874399930,0.74000,0.06400
-0.01874000020,0.76000,0.06400
-0.01873599924,0.76000,0.06400
-0.01873200014,0.76000,0.07200
-0.01872799918,0.76000,0.06400
-0.01872400008,0.76000,0.06400
-0.01871999912,0.74000,0.06400
-0.01871600002,0.76000,0.06400
-0.01871199906,0.76000,0.06400
-0.01870799996,0.76000,0.06400
-0.01870400086,0.76000,0.06400
-0.01869999990,0.76000,0.06400
-0.01869600080,0.76000,0.06400
-0.01869199984,0.78000,0.06400
-0.01868800074,0.78000,0.06400
-0.01868399978,0.78000,0.06400
-0.01868000068,0.78000,0.06400
-0.01867599972,0.78000,0.06400
-0.01867200062,0.78000,0.06400
-0.01866799966,0.76000,0.06400
-0.01866400056,0.78000,0.06400
-0.01865999959,0.78000,0.07200
-0.01865600049,0.78000,0.06400
-0.01865199953,0.78000,0.06400
-0.01864800043,0.78000,0.07200
-0.01864399947,0.78000,0.07200
-0.01864000037,0.78000,0.07200
-0.01863599941,0.78000,0.07200
-0.01863200031,0.78000,0.07200
-0.01862799935,0.80000,0.07200
-0.01862400025,0.80000,0.07200
-0.01861999929,0.80000,0.07200
-0.01861600019,0.80000,0.08000
-0.01861199923,0.80000,0.08000
-0.01860800013,0.80000,0.07200
-0.01860399917,0.80000,0.07200
-0.01860000007,0.82000,0.08000
-0.01859599911,0.82000,0.08000
-0.01859200001,0.82000,0.07200
-0.01858799905,0.82000,0.07200
-0.01858399995,0.82000,0.07200
-0.01858000085,0.82000,0.07200
-0.01857599989,0.82000,0.07200
-0.01857200079,0.82000,0.06400
-0.01856799982,0.82000,0.07200
-0.01856400073,0.82000,0.07200
-0.01855999976,0.82000,0.07200
-0.01855600066,0.82000,0.07200
-0.01855199970,0.82000,0.07200
-0.01854800060,0.82000,0.07200
-0.01854399964,0.82000,0.07200
-0.01854000054,0.82000,0.07200
-0.01853599958,0.82000,0.07200
-0.01853200048,0.82000,0.08000
-0.01852799952,0.82000,0.08000
-0.01852400042,0.82000,0.08000
-0.01851999946,0.84000,0.08000
-0.01851600036,0.84000,0.08000
-0.01851199940,0.84000,0.08000
-0.01850800030,0.84000,0.08000
-0.01850399934,0.86000,0.08000
-0.01850000024,0.86000,0.08000
